,Year,Jurisdiction,Dollars
501,1990,British Columbia,3569089.0
504,1990,New Brunswick,716000.0
506,1990,Newfoundland and Labrador,272160.0
508,1990,National parks,0.0
510,1990,Nova Scotia,3250.0
512,1990,Northwest Territories,5000.0
514,1990,Ontario,423820.0
515,1990,Prince Edward Island,3008.0
517,1990,Quebec,123939.0
518,1990,Saskatchewan,0.0
520,1990,Yukon,50400.0
523,1991,British Columbia,1675581.0
525,1991,Manitoba,200000.0
527,1991,New Brunswick,934000.0
529,1991,Newfoundland and Labrador,20635.0
531,1991,National parks,0.0
533,1991,Nova Scotia,110000.0
535,1991,Northwest Territories,17000.0
537,1991,Ontario,448995.0
538,1991,Prince Edward Island,13100.0
540,1991,Quebec,1914926.0
541,1991,Saskatchewan,0.0
543,1991,Yukon,0.0
546,1992,British Columbia,2001511.0
549,1992,New Brunswick,706000.0
551,1992,Newfoundland and Labrador,12680.0
553,1992,National parks,0.0
555,1992,Nova Scotia,52400.0
557,1992,Northwest Territories,45000.0
559,1992,Ontario,30651.0
560,1992,Prince Edward Island,0.0
562,1992,Quebec,800810.0
563,1992,Saskatchewan,0.0
565,1992,Yukon,30300.0
568,1993,British Columbia,3650159.0
571,1993,New Brunswick,2339000.0
573,1993,Newfoundland and Labrador,8230.0
575,1993,National parks,0.0
577,1993,Nova Scotia,100300.0
579,1993,Northwest Territories,11000.0
581,1993,Ontario,138620.0
582,1993,Prince Edward Island,0.0
584,1993,Quebec,6170.0
585,1993,Saskatchewan,0.0
587,1993,Yukon,0.0
590,1994,British Columbia,11844924.0
593,1994,New Brunswick,518000.0
595,1994,Newfoundland and Labrador,60235.0
597,1994,National parks,0.0
599,1994,Nova Scotia,2750.0
601,1994,Northwest Territories,0.0
603,1994,Ontario,767625.0
604,1994,Prince Edward Island,0.0
607,1994,Saskatchewan,0.0
609,1994,Yukon,0.0
612,1995,British Columbia,7337770.0
614,1995,Manitoba,2400000.0
616,1995,New Brunswick,2090000.0
618,1995,Newfoundland and Labrador,20000.0
620,1995,National parks,0.0
622,1995,Nova Scotia,50300.0
624,1995,Northwest Territories,0.0
626,1995,Ontario,2491972.0
627,1995,Prince Edward Island,0.0
630,1995,Saskatchewan,0.0
632,1995,Yukon,0.0
635,1996,British Columbia,2798557.0
638,1996,New Brunswick,332000.0
640,1996,Newfoundland and Labrador,5450.0
643,1996,Nova Scotia,1000.0
645,1996,Northwest Territories,64000.0
647,1996,Ontario,1484770.0
648,1996,Prince Edward Island,0.0
651,1996,Saskatchewan,0.0
656,1997,British Columbia,17200.0
659,1997,New Brunswick,184900.0
661,1997,Newfoundland and Labrador,250600.0
663,1997,National parks,0.0
665,1997,Nova Scotia,24700.0
667,1997,Northwest Territories,28000.0
669,1997,Ontario,12115901.0
671,1997,Prince Edward Island,9000.0
673,1997,Saskatchewan,0.0
679,1998,British Columbia,5028.0
681,1998,New Brunswick,630050.0
683,1998,Newfoundland and Labrador,150400.0
686,1998,Nova Scotia,4000.0
688,1998,Northwest Territories,45000.0
690,1998,Ontario,2315135.0
691,1998,Prince Edward Island,7500.0
694,1998,Saskatchewan,350000.0
699,1999,British Columbia,1021.0
702,1999,New Brunswick,1852600.0
704,1999,Newfoundland and Labrador,415700.0
707,1999,Nova Scotia,22950.0
709,1999,Northwest Territories,9000.0
711,1999,Ontario,9790360.0
712,1999,Prince Edward Island,7500.0
715,1999,Saskatchewan,2250000.0
721,2000,British Columbia,1088.0
723,2000,New Brunswick,263000.0
725,2000,Newfoundland and Labrador,42000.0
728,2000,Nova Scotia,13800.0
730,2000,Northwest Territories,9000.0
732,2000,Ontario,1000705.0
736,2000,Saskatchewan,0.0
742,2001,British Columbia,646.0
744,2001,New Brunswick,2271500.0
746,2001,Newfoundland and Labrador,400150.0
748,2001,Nova Scotia,250550.0
750,2001,Northwest Territories,0.0
752,2001,Ontario,1389377.0
756,2001,Saskatchewan,0.0
761,2002,British Columbia,2474250.0
764,2002,New Brunswick,445000.0
766,2002,Newfoundland and Labrador,105533.0
769,2002,Nova Scotia,287000.0
771,2002,Northwest Territories,4000.0
773,2002,Ontario,1357150.0
774,2002,Prince Edward Island,18300.0
782,2003,British Columbia,99232.0
785,2003,New Brunswick,389650.0
787,2003,Newfoundland and Labrador,150000.0
789,2003,Nova Scotia,203000.0
791,2003,Northwest Territories,19000.0
793,2003,Ontario,5240850.0
794,2003,Prince Edward Island,1000.0
801,2004,British Columbia,1093141.0
804,2004,New Brunswick,296500.0
806,2004,Newfoundland and Labrador,0.0
808,2004,Nova Scotia,120000.0
810,2004,Northwest Territories,0.0
812,2004,Ontario,1318775.0
813,2004,Prince Edward Island,300.0
820,2005,British Columbia,102647.0
823,2005,New Brunswick,1505100.0
825,2005,Newfoundland and Labrador,0.0
826,2005,Newfoundland and Labrador,14000.0
828,2005,Nova Scotia,70000.0
830,2005,Northwest Territories,10000.0
832,2005,Ontario,461334.0
833,2005,Prince Edward Island,0.0
840,2006,British Columbia,1071704.0
842,2006,Manitoba,0.0
843,2006,New Brunswick,501700.0
845,2006,Newfoundland and Labrador,0.0
847,2006,Nova Scotia,150000.0
849,2006,Northwest Territories,10000.0
851,2006,Ontario,679981.0
852,2006,Prince Edward Island,12000.0
859,2007,British Columbia,37012.0
862,2007,New Brunswick,51200.0
864,2007,Newfoundland and Labrador,0.0
866,2007,Nova Scotia,276000.0
868,2007,Northwest Territories,45000.0
870,2007,Ontario,1999232.0
871,2007,Prince Edward Island,2000.0
878,2008,British Columbia,5402869.0
881,2008,New Brunswick,30700.0
883,2008,Newfoundland and Labrador,0.0
885,2008,Nova Scotia,855000.0
887,2008,Northwest Territories,51000.0
889,2008,Ontario,45000.0
890,2008,Prince Edward Island,500.0
898,2009,British Columbia,3961725.0
901,2009,New Brunswick,230200.0
903,2009,Newfoundland and Labrador,15500.0
907,2009,Northwest Territories,0.0
909,2009,Ontario,9000.0
910,2009,Prince Edward Island,700.0
917,2010,British Columbia,1983140.0
920,2010,New Brunswick,201313.0
922,2010,Newfoundland and Labrador,0.0
926,2010,Northwest Territories,0.0
928,2010,Ontario,462251.0
929,2010,Prince Edward Island,700.0
936,2011,British Columbia,80000.0
939,2011,New Brunswick,24623.0
941,2011,Newfoundland and Labrador,0.0
945,2011,Northwest Territories,0.0
947,2011,Ontario,1130400.0
948,2011,Prince Edward Island,2300.0
956,2012,British Columbia,1854908.0
958,2012,New Brunswick,1013611.0
960,2012,Newfoundland and Labrador,100000.0
964,2012,Northwest Territories,0.0
966,2012,Ontario,2238269.0
967,2012,Prince Edward Island,8200.0
977,2013,New Brunswick,698996.0
979,2013,Newfoundland and Labrador,32000.0
983,2013,Northwest Territories,0.0
985,2013,Ontario,565543.0
986,2013,Prince Edward Island,86800.0
996,2014,New Brunswick,456600.0
998,2014,Newfoundland and Labrador,0.0
1002,2014,Northwest Territories,0.0
1004,2014,Ontario,20000.0
1005,2014,Prince Edward Island,0.0
1012,2015,British Columbia,10588800.0
1013,2015,British Columbia,10588800.0
1015,2015,New Brunswick,456600.0
1016,2015,New Brunswick,456600.0
1017,2015,Newfoundland and Labrador,1300.0
1021,2015,Northwest Territories,0.0
1023,2015,Ontario,151910.0
1024,2015,Prince Edward Island,0.0
1029,2015,Yukon,0.0
1031,2016,British Columbia,3000.0
1032,2016,British Columbia,3000.0
1034,2016,New Brunswick,456600.0
1035,2016,New Brunswick,456600.0
1036,2016,Newfoundland and Labrador,600000.0
1040,2016,Northwest Territories,0.0
1042,2016,Ontario,835900.0
1047,2016,Yukon,0.0
1049,2017,British Columbia,6730625.0
1050,2017,British Columbia,6730625.0
1052,2017,New Brunswick,456600.0
1053,2017,New Brunswick,456600.0
1054,2017,Newfoundland and Labrador,22000.0
1055,2017,National parks,0.0
1059,2017,Northwest Territories,0.0
1061,2017,Ontario,0.0
1068,2017,Yukon,0.0
1070,2018,British Columbia,3100000.0
1071,2018,British Columbia,3100000.0
1073,2018,New Brunswick,20960.0
1074,2018,New Brunswick,20960.0
1075,2018,Newfoundland and Labrador,67100.0
1076,2018,National parks,0.0
1080,2018,Northwest Territories,0.0
1082,2018,Ontario,112647.0
1091,2019,British Columbia,0.0
1095,2019,Newfoundland and Labrador,0.0
1097,2019,National parks,0.0
1101,2019,Northwest Territories,0.0
1102,2019,Ontario,345002.0
1109,2020,British Columbia,0.0
1110,2020,Manitoba,0.0
1111,2020,New Brunswick,0.0
1112,2020,Newfoundland and Labrador,6578.0
1113,2020,Nova Scotia,0.0
1114,2020,Northwest Territories,0.0
1115,2020,Ontario,345002.0
1116,2020,Prince Edward Island,0.0
1117,2020,Quebec,0.0
1118,2020,Saskatchewan,0.0
1120,2020,Yukon,0.0
1141,1990,Canada,5166666.0
1142,1991,Canada,5334237.0
1143,1992,Canada,3679352.0
1144,1993,Canada,6253479.0
1145,1994,Canada,13193534.0
1146,1995,Canada,14390042.0
1147,1996,Canada,4685777.0
1148,1997,Canada,12630301.0
1149,1998,Canada,3507113.0
1150,1999,Canada,14349131.0
1151,2000,Canada,1329593.0
1152,2001,Canada,4312223.0
1153,2002,Canada,4691233.0
1154,2003,Canada,6102732.0
1155,2004,Canada,2828716.0
1156,2005,Canada,2163081.0
1157,2006,Canada,2425385.0
1158,2007,Canada,2410444.0
1159,2008,Canada,6385069.0
1160,2009,Canada,4217125.0
1161,2010,Canada,2647404.0
1162,2011,Canada,1237323.0
1163,2012,Canada,5214988.0
1164,2013,Canada,1383339.0
1165,2014,Canada,476600.0
1166,2015,Canada,22244010.0
1167,2016,Canada,2355100.0
1168,2017,Canada,14396450.0
1169,2018,Canada,6421667.0
1170,2019,Canada,345002.0
1171,2020,Canada,351580.0
